enter main
&argc=bf8c0230 argv=bf8c02c4 env=bf8c02d8
&a=bf8c021c &b=bf8c0218 &c=bf8c0214
enter A
&d=bf8c01ec &e=bf8c01e8 &f=bf8c01e4
enter B
&g=bf8c01bc &h=bf8c01b8 &i=bf8c01b4
enter C
&u=bf8c0188 &v=bf8c0184 &w=bf8c0180
ebp=bf8c0198
Address	Contents
bf8c0180	b
bf8c0184	a
bf8c0188	9
bf8c018c	3
bf8c0190	0
bf8c0194	0
bf8c0198	bf8c01c8
bf8c019c	80485b6
bf8c01a0	6
bf8c01a4	7
bf8c01a8	bf8c01b8
bf8c01ac	bf8c01b4
bf8c01b0	b7730ac0
bf8c01b4	8
bf8c01b8	7
bf8c01bc	6
bf8c01c0	0
bf8c01c4	0
bf8c01c8	bf8c01f8
bf8c01cc	804854e
bf8c01d0	3
bf8c01d4	4
bf8c01d8	bf8c01e8
bf8c01dc	bf8c01e4
bf8c01e0	b7730ac0
bf8c01e4	5
bf8c01e8	4
bf8c01ec	3
bf8c01f0	bf8c0230
bf8c01f4	b776a8f8
bf8c01f8	bf8c0228
bf8c01fc	80484e6
bf8c0200	1
bf8c0204	2
bf8c0208	bf8c0218
bf8c020c	bf8c0214
bf8c0210	b77303c4
bf8c0214	3
bf8c0218	2
bf8c021c	1
bf8c0220	80486a0
bf8c0224	0
bf8c0228	0
bf8c022c	b758fb73
bf8c0230	4
bf8c0234	bf8c02c4
bf8c0238	bf8c02d8
bf8c023c	b77466b0
bf8c0240	1
bf8c0244	1
bf8c0248	0
bf8c024c	804a018
bf8c0250	804822c
bf8c0254	b7730000
bf8c0258	0
bf8c025c	0
bf8c0260	0
bf8c0264	495866db
bf8c0268	e0aa62ca
bf8c026c	0
bf8c0270	0
bf8c0274	0
bf8c0278	4
bf8c027c	8048350
bf8c0280	0
bf8c0284	b775efc0
bf8c0288	b758fa89
bf8c028c	b7769fbc
bf8c0290	4
bf8c0294	8048350
bf8c0298	0
bf8c029c	8048371
bf8c02a0	8048460
bf8c02a4	4
bf8c02a8	bf8c02c4
bf8c02ac	80486a0
bf8c02b0	8048710
bf8c02b4	b7759870
bf8c02b8	bf8c02bc
bf8c02bc	1c
bf8c02c0	4
bf8c02c4	bf8c044b
bf8c02c8	bf8c0451
bf8c02cc	bf8c0455
bf8c02d0	bf8c0459
bf8c02d4	0
bf8c02d8	bf8c045f
bf8c02dc	bf8c046a
bf8c02e0	bf8c047b
bf8c02e4	bf8c049a
bf8c02e8	bf8c04cf
bf8c02ec	bf8c04e0
bf8c02f0	bf8c04f4
bf8c02f4	bf8c0504
bf8c02f8	bf8c051b
bf8c02fc	bf8c0529
bf8c0300	bf8c0541
bf8c0304	bf8c0553
bf8c0308	bf8c0587
bf8c030c	bf8c05a8
exit C
exit B
exit A
exit main
